tta1,tta2,tta3,tta4,tta5,tta6,tta7,tta8,tta9,tta10,tta11,tta12,tta13,tta14,tta15,tta16,tta17,tta18,tta19,tta20,tta21,tta22,tta23,tta24,tta25,tta26,tta27,tta28,tta29,tta30,tta31
0,0,-4.664,0,-2.974,0,-5.881,-1.871,0,0.7045,0,0.1196,0,0,-3.511,0,0,0.1266,-1.218,0,0,0,3.301,0,0.2144,-2.229,-0.6959,0,1.71,0,0
-0.8764,0,-1.623,0.03699,-4.205,0,-2.599,-1.729,0,1.105,0,0,-1.003,0,0,0,0,0,-1.08,0,0,0,0,0,0,-1.211,-3.409,-7.643,1.854,0,-0.1242
0,0,-5.233,0.2976,0,0,-3.351,-2.066,-0.5315,0,0,0,0.01389,0.8029,0,0,0,0,0,0,-3.571,0,0,0,0,0,-0.8896,-0.5385,0,0,-4.153
0,0,-1.403,0,0,0,-1.357,0,0,0,0,-1.804,0,0,0,-0.204,0,0,0,0,-2.41,0,0,0,0,-0.6071,-1.494,-4.789,-1.071,0,-2.158
0,0,-0.7658,0,1.071,0,0,0,0,0.03323,0,-0.08425,0,0,0,0,1.599,0,-2.833,0,-0.2694,0,0,-1.993,0,0,-0.8334,-1.268,0.5713,0,-2.311
0,-0.6228,-4.954,0,-2.654,0,0,0,0,1.486,-3.096,0,0,0,0,0,0,0,-0.587,-0.6024,-0.7075,0,0,-3.156,0,0,-0.7318,-2.792,0.09873,0,0
0,0.4334,-6.026,0,0,0,0,0,0,3.315,-2.815,0,0.4325,0,0,0,0,0,-0.8249,0,-3.231,0,0,-2.361,0,0,0,-1.352,0.5651,0,0
0,-0.1899,0,0,0,-0.7855,0,-3.674,-0.6111,2.174,-3.923,-4.104,0,0,-0.6271,0,0,0,-2.117,0,-3.258,0,0,0,0,-0.2287,0,-6.652,1.738,0,0
0.3929,-1.58,0.665,0,-3.305,-6.573,0,0,-1.826,2.659,-3.141,-4.296,0,0,-6.356,0,0,0,-0.5155,0,-1.567,0,0,0.1582,0,-0.743,0,-3.831,1.596,2.08,0
0,0.1269,-3.775,0,-3.224,0.3409,0,-5.273,0,2.53,-2.116,-4.004,0,0,-3.561,0,0,0,-1.527,0,0,0.3968,0,0,0,0.01669,0,-5.408,2.304,0.5683,-2.33
-1.804,0,-0.6694,0,-0.8624,0,0,1.076,0,2.333,-5.738,-2.109,0,0.1164,-4.115,0,0,0,-1.183,0,0,-5.249,0,-2.326,0.5822,-0.8725,0,-2.817,3.586,2.054,-1.609
-1.951,0,-1.418,0,-1.571,0,0.1557,-3.629,0,2.393,0,-2.473,0,0.00626,0,0,0,0,-0.7602,0,0,0,0,-2.491,0,0,0.2132,-3.346,2.371,1.396,0
-3.468,-0.7,0,0,-5.708,0,-3.23,-1.524,0,4.606,0,-4.986,0,2.435,0,0,0,0,-3.329,0,-3.829,0,0,-3.827,0,0,0,-3.852,1.996,0,0
-2.212,0,0,0,-1.531,0,-5.072,-3.288,0,4.636,0,-3.453,0,0.684,0,0,0,0,-2.824,0,-8.026,0,0,-1.349,0,0,-0.4163,0,0,0,0
-2.373,0,-2.244,0,0,0,-2.476,-3.523,0,5.207,-1.664,-2.491,0.243,0,0,0,0,0,-2.496,0,-4.656,0,0,-1.591,1.117,0,-0.5145,0,0,0,0
-1.496,0,-4.232,0,0,0,-1.723,-2.49,0,4.02,0,-2.128,0.1634,0,0.2578,0,0,0,-0.9414,0,-4.487,0,1.839,-1.932,0,0.2405,-2.03,0,0,0,0
-4.467,0,-6.921,0,-0.3154,-1.034,-3.906,-5.547,0,2.907,0,-5.446,-1.554,0,-5.197,0,0,0,0,0,0,-4.951,0.7373,-0.828,0,-0.4044,0,0,0,-0.9451,0
-2.104,0,-4.678,0,-5.061,-1.814,0,-1.423,0.5773,3.801,0,-1.777,-2.558,0,-1.117,0,0,0,0,-0.07113,0,0,-2.587,0,0,0.5181,-2.027,0,0,0,0
0.4549,0,-2.457,-0.6058,-1.13,0,0,-3.618,0.9143,2.827,-2.378,0,-1.77,0,1.334,0,0.4663,0,0,0,-1.509,0,0.7313,0.1647,0,0,-2.014,0.5356,0,0,-6.653
0,0,0,-0.7223,-2.675,0,0,-2.133,1.496,2.443,-2.802,0,-0.7089,0,0,-0.2798,0,0,0,0,-4.969,0,0,-0.1462,0,1.37,0.2916,-7.18,-0.2387,0,-3.452
0,0,-1.263,0.2429,-4.801,0,-3.382,-2.3,2.129,1.945,-2.778,0,-1.379,0,0,0,0.3759,-0.392,0,0,0.4093,0,0,0,0,0,0,-2.569,-1.165,0,-1.262
0,0,-0.2149,0,-3.018,0,-5.933,0,2.123,1.926,-3.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,-4.173,-0.6235,0,-4.112
0,0,-5.866,0,-6.195,-3.616,-2.094,0,0,1.795,0,0,0,0,0,0,0,0,-1.447,0,-6.441,0,0.1369,0,0,0,0,-2.086,0,0,-2.293
