beta0,beta1,yp
225.9,-4.373,142.8
221.5,-3.185,178.3
221.5,-3.15,157.1
223,-4.29,129.7
219.6,-3.004,150.5
223,-4.525,163.7
219,-3.429,131.1
219.6,-3.276,169.8
234.1,-3.592,126.1
231.3,-2.209,194.6
209.3,-3.971,140.4
231.2,-3.127,210.3
218.3,-3.579,129.4
219.8,-2.944,225.4
221,-3.545,156.7
218.6,-2.821,162.1
219,-3.329,91.07
221,-3.091,86.23
222.4,-3.103,128.1
224,-2.943,201
221.9,-3.12,135.4
221.8,-3.737,188.7
220.8,-2.883,177.7
222.2,-3.915,153.9
221,-2.72,136.4
219.1,-3.169,110.6
218.9,-3.308,191.5
221.1,-2.79,192.8
218.1,-3.531,120.5
224.2,-2.966,164.6
223.7,-2.824,167.5
220.5,-2.974,183.8
219.2,-2.81,148.4
222.7,-3.208,159.8
226.7,-2.823,162.3
226.9,-3.723,134
215.9,-1.962,166.7
222.8,-4.185,164.4
229.6,-3.722,154.1
223.8,-3.192,178.3
239,-2.766,165.1
217.4,-2.778,135.6
222.2,-3.244,107.8
217.3,-3.226,156.6
232.2,-2.972,145.9
226.2,-3.205,180.2
215.6,-3.331,134.2
228.8,-3.244,160.8
215.6,-3.385,149.9
231.3,-3.649,173.4
216.8,-3.151,124.1
223,-2.687,131.7
219.6,-3.937,173.7
218,-3.148,181.9
226.2,-3.427,140.8
221.8,-3.796,167.2
222.8,-4,156.4
227.2,-2.85,216.2
227.2,-2.946,144.6
218.9,-3.113,163.4
218.6,-4.087,131.6
225.3,-3.015,146.2
223.7,-2.729,106.1
218.8,-3.7,132
215.7,-3.027,147.9
221.2,-3.644,147
221.8,-3.647,116
223.8,-3.236,125.4
220.1,-3.4,116.8
225.2,-2.553,201.8
219,-2.667,92.18
221.3,-3.279,126.6
217.8,-3.741,115.1
225.8,-3.727,176.5
220.1,-2.339,158.6
213.2,-3.424,233.2
220.6,-2.527,219.6
219,-3.2,107.7
218.7,-3.525,152.9
223.9,-3.2,163.8
226.5,-3.36,142.1
217.8,-2.993,238.8
228.8,-3.521,148.2
223.9,-3.54,138.2
227.2,-2.67,80.57
224.4,-2.611,205.1
227.5,-3.914,163.2
219.2,-2.794,151.4
223.4,-3.174,203.1
222.8,-3.706,194.9
217.3,-2.669,149.8
226.9,-3.403,113.7
217.2,-4.15,160.8
222,-3.8,170.8
219.7,-4.252,110.9
222.5,-2.827,145
220.8,-3.262,165.7
224.9,-3.212,122.7
222.6,-3.707,168.1
221.1,-2.29,208.9
225.2,-2.779,134.2
219.1,-2.795,235.7
224,-3.567,123.7
220,-3.378,174.6
239.6,-3.57,167
230.1,-2.72,218.8
214.7,-3.679,102.2
218.6,-3.759,124.9
216.8,-4.185,145.3
208.9,-3.748,112
218.9,-4.283,140.2
207.3,-4.711,45.5
211.2,-3.717,111.6
212.3,-1.944,180.7
227,-3.137,144.5
228.6,-3.767,141.8
213.9,-3.822,164.1
231,-2.392,204.4
217.5,-2.789,134.6
216.1,-4.303,109.2
224,-2.645,169.2
215,-4.205,148.3
214.5,-2.835,162.7
225.9,-2.916,230.4
233.1,-3.564,152.5
218.9,-3.784,195.8
219.5,-2.451,145
224.8,-3.633,169.5
213.9,-3.677,132.7
213.5,-3.27,156.8
217.6,-3.535,96.34
217.9,-4.211,136.6
