beta0,beta1,yp
230.3,-2.563,108
228.3,-3.335,168.1
226,-2.45,170.3
218.3,-2.583,153
219.6,-2.259,188.6
218.9,-3.245,149.9
226.4,-3.233,142.7
227.7,-3.961,153.7
221.9,-3.885,144.8
226.2,-4.044,97.55
229,-3.337,180.4
220.9,-2.836,176.1
220.8,-2.775,219.5
226.3,-2.06,224.6
223.6,-2.768,146.5
226,-3.926,153.9
212,-3.049,134.6
215.4,-2.808,205.2
220,-2.882,205.6
221.2,-3.783,171.2
222.7,-3.137,158
215.9,-3.25,196.8
225.4,-3.125,157.3
215.5,-3.021,191.2
225.8,-3.088,164.3
222.2,-2.567,208.3
221.3,-4.304,147.4
215,-3.667,136
215.4,-2.953,174.4
221.2,-3.756,87.01
217.6,-2.701,165.6
224.5,-2.672,198.6
219.9,-3.891,158.2
211.5,-3.83,192.6
218.6,-3.193,92.85
229.8,-2.875,169.8
218.7,-3.111,138.9
222.4,-4.082,241
219.7,-2.434,212
217.9,-3.033,224.7
225.2,-3.51,174.9
216.8,-3.403,164.8
220.8,-2.154,178.2
218.2,-3.688,113.1
221.3,-4.008,150.9
222.6,-2.583,157.8
214.8,-4.664,156.1
216.7,-3.193,141.1
218.2,-2.514,142.3
227.6,-3.34,168.5
219,-3.94,156.4
221.6,-3.814,162.9
227.1,-3.701,164.8
214.8,-3.169,210
222.4,-3.022,166.3
220.7,-3.106,121.6
219,-3.19,126.2
233,-3.786,218.7
211.6,-3.444,145.6
225.3,-3.451,195.2
220.7,-3.099,183.2
230.6,-4.009,127.8
218.5,-3.1,195.7
219.6,-3.909,153.1
220.6,-2.955,178.5
223.2,-3.603,120.9
220.7,-2.564,174.5
213.2,-4.065,127.5
227,-3.776,107.9
228.1,-3.584,182.7
217.4,-2.626,185.6
229.6,-3.538,137.8
220.2,-3.261,200
216,-2.868,110.7
220.2,-4.629,126.8
224,-3.334,200
214.2,-2.373,188.4
218,-3.622,111.2
219.5,-3.025,159.2
224,-3.606,159.4
220.8,-3.898,171.1
218.2,-3.317,144.7
222.8,-2.95,139.8
220.1,-3.082,157.1
222.3,-2.911,183.6
225.2,-4.522,113.5
219.2,-2.624,186.4
221,-3.285,155.2
210.2,-3.162,160.2
226.2,-3.183,151.2
214.4,-2.874,176.5
220.4,-2.916,199.4
210.1,-3.633,141.3
228.8,-3.864,168.3
221.7,-3.631,103
222.2,-2.905,192.5
234.1,-3.66,171.7
220.8,-2.86,182.8
227.6,-3.077,185.8
219,-3.372,146.6
231.9,-4.243,157.5
223.1,-3.357,146.9
232.1,-3.892,209.8
218.2,-2.813,169.8
226.2,-3.682,131.1
213,-2.517,157.3
215.9,-2.752,165.8
214.1,-3.492,131.7
216.3,-3.416,158.8
222.6,-2.771,168.6
219.8,-2.2,165.4
212.9,-3.392,197
219,-3.636,177.3
225.7,-3.677,158.6
214.2,-3.416,190.6
216.1,-3.305,158.4
222.5,-3.076,181
216.1,-3.719,135.8
219.6,-3.334,128.7
224.2,-2.384,151
228.9,-2.759,177
220.1,-2.317,165.6
215.6,-3.431,175.4
227,-2.957,131.3
221.6,-3.146,164.4
224.7,-2.6,166
223.6,-3.51,134.5
218,-2.915,229.7
220.7,-3.371,153.8
218.1,-2.791,160.7
207.9,-3.308,119
225.2,-3.334,188.1
224.5,-3.573,176.9
214.6,-2.937,119.7
221.1,-3.487,101.8
200.6,-4.208,-0.7616
223.7,-3.003,34.15
222.5,-3.675,158.1
229.2,-3.034,152.8
213.7,-3.103,138
208.4,-3.671,197.2
219.4,-4.979,145
212.8,-1.384,181.1
218.5,-3.499,43.87
226,-2.552,143.7
223,-3.613,121.9
222.6,-3.203,173.7
224,-2.549,193.1
217.5,-2.844,199.8
220.9,-3.7,108.3
227,-4.349,33.62
228.4,-4.27,127.8
217.9,-2.749,146.9
227.5,-4.031,175.6
221.5,-3.222,182
226.8,-3.606,98.02
222,-2.769,147.9
220.5,-3.669,147.5
218.9,-3.047,125.3
221.5,-3.511,196.5
222.3,-2.652,174.2
226.5,-3.175,170.5
213.1,-3.059,124.4
222.2,-3.055,168
219,-3.327,109.7
221.4,-3.379,202.9
216.4,-3.154,154.1
215.6,-3.708,104
213.3,-3.465,122.9
226.2,-3.826,143
224.3,-2.339,129.6
224.8,-3.273,219.7
224.1,-2.39,154.2
215.8,-2.845,172.8
211,-3.37,160
225.7,-2.77,199.4
216,-2.813,157.5
229.8,-3.07,162.9
224.5,-3.388,145
227.1,-2.931,151.9
207.8,-3.095,163.3
238.3,-2.925,195.8
219.1,-3.608,118.9
222.9,-3.369,161.1
213.4,-2.986,139.9
206.1,-3.696,148.2
226,-3.099,188.7
228,-2.883,129.1
222.6,-3.379,113.7
228.9,-3.594,157.1
217.9,-3.391,143.5
215.7,-3.262,148.4
224,-4.203,165.3
215.7,-3.384,157.8
217.9,-3.501,203
219.4,-3.642,131.2
220,-3.103,119.8
223.7,-3.134,140.8
225.9,-2.974,197.6
219.3,-3.193,168.6
214.4,-2.586,183.9
214.8,-3.136,172.6
219,-2.512,178.6
218.5,-3.497,163.6
221.7,-3.675,107.3
209.9,-3.103,193.8
223.1,-2.635,202.3
217.2,-3.881,180.9
217.1,-2.631,214.7
213,-2.834,114.1
217.9,-3.923,194
219.5,-3.335,184.9
229,-4.282,132.8
219.5,-2.779,134.2
212.9,-3.081,164.1
223.2,-2.78,207.9
227.2,-3.778,173.9
221.5,-2.78,140.6
222.5,-3.942,170.4
223.9,-3.661,115.6
220.5,-3.301,138.5
220.7,-2.755,173.8
228.5,-4.05,116.6
217.7,-4.006,114.7
230.6,-3.281,210
224.3,-3.218,213.3
225.8,-2.556,185.2
223.6,-3.421,116.8
213.1,-3.95,95.93
213.6,-3.498,128.1
217.4,-2.295,187.2
216.3,-2.297,186.3
225.1,-3.574,211.1
227.6,-3.152,165.9
222,-3.534,155.4
214.5,-3.239,133.4
227.6,-3.832,86.96
211.9,-2.67,111.7
223.1,-2.543,178.3
214.6,-2.478,160.3
213.2,-3.379,195.7
224.6,-2.262,213
219.9,-3.52,143.3
218.3,-2.893,199
227.6,-1.309,209.2
227,-2.583,146.5
216.6,-2.204,139.7
213.4,-2.885,99.04
219.8,-4.304,148.7
215,-2.88,109.4
217.4,-2.338,178.7
212.6,-4.017,173.1
224.5,-3.456,134.8
